lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.0283356,0.00409783,-0.00458058,-0.509372
0.028334,0.00409737,-0.00449732,-0.497234
0.0283324,0.00409691,-0.00441808,-0.485027
0.0283308,0.00409646,-0.0043429,-0.473486
0.0283291,0.00409599,-0.00427185,-0.462315
0.0283276,0.00409557,-0.00420492,-0.451675
0.0283262,0.00409516,-0.00414217,-0.441619
0.0283249,0.00409479,-0.00408361,-0.432583
0.0283237,0.00409447,-0.00402926,-0.424098
0.0283226,0.00409416,-0.00397915,-0.416322
0.0283218,0.00409394,-0.00393328,-0.409835
0.0283213,0.0040938,-0.00389173,-0.404803
0.0283209,0.00409369,-0.00385445,-0.400698
0.0283206,0.00409359,-0.00382142,-0.397227
0.0283204,0.00409354,-0.00379251,-0.394615
0.0283205,0.00409355,-0.00376669,-0.392961
0.0283208,0.00409364,-0.00374367,-0.392623
0.0283214,0.00409382,-0.00372345,-0.393532
0.0283221,0.00409402,-0.00370597,-0.395167
0.0283231,0.00409428,-0.00369121,-0.397789
0.028324,0.00409455,-0.00367913,-0.401062
0.0283253,0.00409492,-0.00366971,-0.405236
0.0283268,0.00409533,-0.00366292,-0.410133
0.0283284,0.00409578,-0.00365872,-0.415641
0.0283299,0.00409621,-0.00365712,-0.42176
0.0283316,0.0040967,-0.00365808,-0.428399
0.0283335,0.00409722,-0.00366159,-0.435481
0.0283354,0.00409777,-0.00366763,-0.442968
0.0283374,0.00409833,-0.00367619,-0.450843
0.0283395,0.00409891,-0.00368727,-0.459048
0.0283415,0.00409949,-0.00370086,-0.467566
0.0283437,0.00410009,-0.00371698,-0.476285
0.0283459,0.00410071,-0.00373563,-0.484941
0.028348,0.00410133,-0.00375683,-0.493671
0.02835,0.00410188,-0.00378063,-0.502921
0.028352,0.00410244,-0.00380706,-0.512298
0.0283539,0.00410298,-0.00383615,-0.521641
0.0283558,0.00410351,-0.00386694,-0.5309
0.0283577,0.00410404,-0.00389731,-0.539861
0.0283596,0.0041046,-0.00392723,-0.548048
0.0283615,0.00410511,-0.00395679,-0.555764
0.0283633,0.00410563,-0.00398605,-0.563133
0.0283651,0.00410614,-0.0040151,-0.569532
0.0283668,0.00410661,-0.00404387,-0.576321
0.0283685,0.00410709,-0.00407241,-0.582547
0.0283701,0.00410756,-0.00410082,-0.588098
0.0283718,0.00410804,-0.00412913,-0.592914
0.0283736,0.00410853,-0.00415739,-0.596956
0.0283753,0.00410901,-0.00418563,-0.600469
0.0283769,0.00410948,-0.0042139,-0.603371
0.0283787,0.00410998,-0.0042422,-0.605385
0.0283804,0.00411047,-0.00427057,-0.606889
0.0283822,0.00411096,-0.00429902,-0.607702
0.0283839,0.00411144,-0.00432757,-0.607868
0.0283856,0.00411192,-0.00435623,-0.607526
0.0283873,0.0041124,-0.004385,-0.606655
0.028389,0.00411288,-0.00441386,-0.605296
0.0283906,0.00411336,-0.00444282,-0.603485
0.0283923,0.00411383,-0.00447183,-0.601223
0.0283941,0.00411432,-0.00450078,-0.598489
0.0283957,0.0041148,-0.00452698,-0.595327
0.0283973,0.00411525,-0.00454926,-0.591676
0.0283989,0.0041157,-0.0045676,-0.587559
0.0284004,0.00411612,-0.00458197,-0.583048
0.0284018,0.0041165,-0.00459235,-0.578197
0.0284031,0.00411689,-0.00459868,-0.573016
0.0284041,0.00411717,-0.00460098,-0.567549
0.0284051,0.00411744,-0.00459926,-0.561948
0.0284059,0.00411766,-0.00459344,-0.556316
0.0284066,0.00411786,-0.0045834,-0.550269
0.0284071,0.004118,-0.0045691,-0.544017
0.0284073,0.00411807,-0.00455054,-0.537571
0.0284075,0.00411814,-0.00452764,-0.53074
0.0284073,0.00411806,-0.00450039,-0.523548
0.0284071,0.00411801,-0.00446879,-0.516283
0.0284063,0.00411779,-0.00443284,-0.508709
0.0284057,0.0041176,-0.00439247,-0.500919
0.0284044,0.00411725,-0.00434772,-0.492895
0.0284032,0.0041169,-0.0042985,-0.484565
0.0284014,0.00411641,-0.00424485,-0.476144
0.0283996,0.00411589,-0.0041867,-0.467001
0.0283973,0.00411522,-0.00412408,-0.45741
0.0283946,0.00411449,-0.00405913,-0.447463
0.0283916,0.00411364,-0.00399843,-0.437414
0.0283886,0.00411277,-0.00394244,-0.427401
0.0283854,0.00411187,-0.00389114,-0.417509
0.028382,0.00411091,-0.00384455,-0.407813
0.0283783,0.00410986,-0.00380268,-0.398147
0.0283745,0.00410881,-0.00376555,-0.388538
0.0283707,0.00410773,-0.00373319,-0.379058
0.0283669,0.00410664,-0.00370563,-0.369812
0.028363,0.00410555,-0.0036829,-0.360887
0.0283593,0.00410449,-0.00366502,-0.352386
0.0283556,0.00410345,-0.00365203,-0.344343
0.028352,0.00410244,-0.00364396,-0.336818
0.0283485,0.00410147,-0.00364083,-0.329936
0.0283453,0.00410056,-0.00364267,-0.323733
0.0283423,0.00409971,-0.0036495,-0.318326
0.0283396,0.00409895,-0.00366135,-0.313775
0.0283372,0.00409827,-0.00367822,-0.310117
0.0283351,0.00409768,-0.00370011,-0.307414
0.0283332,0.00409715,-0.00372706,-0.305755
0.0283318,0.00409675,-0.00375905,-0.305256
0.0283308,0.00409648,-0.00379606,-0.305974
0.0283303,0.00409633,-0.00383798,-0.307924
